Drug Reaction,อาการแพ้ยา
Malaria,โรคมาเลเรีย
Allergy,อาการแพ้
Hypothyroidism,ภาวะต่อมไทรอยด์ทำงานน้อย
Psoriasis,โรคสะเก็ดเงิน
GERD,กรดไหลย้อน
Chronic cholestasis,ภาวะน้ำดีไหลออกจากตับไม่สะดวก
Hepatitis A,โรคตับอักเสบเอ
Osteoarthritis,โรคข้อเข่าเสื่อม
Paroxysmal Positional Vertigo (vertigo),อาการบ้านหมุนตามท่า
Hypoglycemia,น้ำตาลในเลือดต่ำ 
Acne,สิว
Diabetes,โรคเบาหวาน
Impetigo,กลาก
Hypertension,ความดันโลหิตสูง
Peptic ulcer disease,โรคแผลในกระเพาะอาหาร
Dimorphic hemorrhoids (piles),ริดสีดวงทวาร
Common Cold,โรคหวัด
Chicken pox,โรคสุกใส
Cervical spondylosis,โรคข้อเข่าเสื่อมที่กระดูกสันหลังคอ
Hyperthyroidism,ภาวะต่อมไทรอยด์ทำงานมาก
Urinary tract infection (UTI),ติดเชื้อทางเดินปัสสาวะ
Varicose veins,เส้นเลือดขอด
AIDS,โรคเอดส์
Paralysis (brain hemorrhage),อัมพาต
Hepatitis B,โรคตับอักเสบเบ
Fungal infection,เชื้อรา
Hepatitis C,โรคตับอักเสบซี
Migraine,อาการปวดหัวไมเกรน 
Bronchial Asthma,โรคหืด
Alcoholic hepatitis,โรคตับอักเสบจากแอลกอฮอล์
Jaundice,ตาเหลือง
Hepatitis E,โรคตับอักเสบอี
Dengue,โรคไข้เลือดออก
Hepatitis D,โรคตับอักเสบเด
Heart attack,หัวใจวาย
Pneumonia,โรคปอดอักเสบ
Arthritis,โรคข้ออักเสบ
Gastroenteritis,โรคลำไส้อักเสบ
Tuberculosis,วัณโรค