itching-(คัน),ความรุนแรงระดับ 1
skin_rash-(ผื่นผิวหนัง),ความรุนแรงระดับ 3
nodal_skin_eruptions-(การระเบิดของผื่นหนังปลายนิ้ว),ความรุนแรงระดับ 4
continuous_sneezing-(การจามต่อเนื่อง),ความรุนแรงระดับ 4
shivering-(สั่นสะเทือน),ความรุนแรงระดับ 5
chills-(หวาดระทม),ความรุนแรงระดับ 3
joint_pain-(ปวดข้อ),ความรุนแรงระดับ 3
stomach_pain-(ปวดท้อง),ความรุนแรงระดับ 5
acidity-(กรดไหลย้อน),ความรุนแรงระดับ 3
ulcers_on_tongue-(โรคกรดไหลย้อน),ความรุนแรงระดับ 4
muscle_wasting-(การสูญเสียกล้ามเนื้อ),ความรุนแรงระดับ 3
vomiting-(คลื่นไส้),ความรุนแรงระดับ 5
burning_micturition-(การปัสสาวะที่เผาไหม้),ความรุนแรงระดับ 6
spotting_urination-(การปัสสาวะที่มีจุดเลือด),ความรุนแรงระดับ 6
fatigue-(ความเหนื่อยล้า),ความรุนแรงระดับ 4
weight_gain-(เพิ่มน้ำหนัก),ความรุนแรงระดับ 3
anxiety-(ความวิตกกังวล),ความรุนแรงระดับ 4
cold_hands_and_feets-(มือและเท้าเย็น),ความรุนแรงระดับ 5
mood_swings-(อารมณ์เปลี่ยนแปลง),ความรุนแรงระดับ 3
weight_loss-(การลดน้ำหนัก),ความรุนแรงระดับ 3
restlessness-(ความไม่สงบ),ความรุนแรงระดับ 5
lethargy-(ความง่วง),ความรุนแรงระดับ 2
patches_in_throat-(จุดด่างในลำคอ),ความรุนแรงระดับ 6
irregular_sugar_level-(ระดับน้ำตาลไม่ปกติ),ความรุนแรงระดับ 5
cough-(ไอ),ความรุนแรงระดับ 4
high_fever-(ไข้สูง),ความรุนแรงระดับ 7
sunken_eyes-(ตาลุกลึก),ความรุนแรงระดับ 3
breathlessness-(หายใจไม่ออก),ความรุนแรงระดับ 4
sweating-(เหงื่อออก),ความรุนแรงระดับ 3
dehydration-(ขาดน้ำ),ความรุนแรงระดับ 4
indigestion-(ไม่ย่อยดี),ความรุนแรงระดับ 5
headache-(ปวดหัว),ความรุนแรงระดับ 3
yellowish_skin-(ผิวหนังเปลี่ยนสีเหลือง),ความรุนแรงระดับ 3
dark_urine-(ปัสสาวะเข้มสี),ความรุนแรงระดับ 4
nausea-(คลื่นไส้),ความรุนแรงระดับ 5
loss_of_appetite-(สูญเสียความอยากกิน),ความรุนแรงระดับ 4
pain_behind_the_eyes-(ปวดข้างหลังของตา),ความรุนแรงระดับ 4
back_pain-(ปวดหลัง),ความรุนแรงระดับ 3
constipation-(ท้องผูก),ความรุนแรงระดับ 4
abdominal_pain-(ปวดท้อง),ความรุนแรงระดับ 4
diarrhoea-(ท้องเสีย),ความรุนแรงระดับ 6
mild_fever-(ไข้เล็กน้อย),ความรุนแรงระดับ 5
yellow_urine-(ปัสสาวะสีเหลือง),ความรุนแรงระดับ 4
yellowing_of_eyes-(ตาเปลี่ยนเป็นสีเหลือง),ความรุนแรงระดับ 4
acute_liver_failure-(การล้มเหลวของตับแห้ง),ความรุนแรงระดับ 6
fluid_overload-(การเกิดการแพร่พันธุ์ของของเหลว),ความรุนแรงระดับ 6
swelling_of_stomach-(บวมท้อง),ความรุนแรงระดับ 7
swelled_lymph_nodes-(กล้ามเนื้อนู้น),ความรุนแรงระดับ 6
malaise-(อาการไม่สบาย),ความรุนแรงระดับ 6
blurred_and_distorted_vision-(มองไม่เห็นชัดและมองเบลอ),ความรุนแรงระดับ 5
phlegm-(เสมหะ),ความรุนแรงระดับ 5
throat_irritation-(ระคายเสียงคอ),ความรุนแรงระดับ 4
redness_of_eyes-(ตาแดง),ความรุนแรงระดับ 5
sinus_pressure-(กดที่หูคอและจมูก),ความรุนแรงระดับ 4
runny_nose-(น้ำมูกไหล),ความรุนแรงระดับ 5
congestion-(ติดขัด),ความรุนแรงระดับ 5
chest_pain-(เจ็บหน้าอก),ความรุนแรงระดับ 7
weakness_in_limbs-(อ่อนแรงในขาและแขน),ความรุนแรงระดับ 7
fast_heart_rate-(อัตราการเต้นของหัวใจเร็ว),ความรุนแรงระดับ 5
pain_during_bowel_movements-(ปวดในระหว่างการถ่ายอุจจาระ),ความรุนแรงระดับ 5
pain_in_anal_region-(ปวดในบริเวณทวาร),ความรุนแรงระดับ 6
bloody_stool-(อุจจาระเป็นเลือด),ความรุนแรงระดับ 5
irritation_in_anus-(ระคายเสียงในทวาร),ความรุนแรงระดับ 6
neck_pain-(ปวดคอ),ความรุนแรงระดับ 5
dizziness-(ความเวียนหัว),ความรุนแรงระดับ 4
cramps-(ปวดเข่า),ความรุนแรงระดับ 4
bruising-(การฟกช้ำ),ความรุนแรงระดับ 4
obesity-(โรคอ้วน),ความรุนแรงระดับ 4
swollen_legs-(ขาบวม),ความรุนแรงระดับ 5
swollen_blood_vessels-(หลอดเลือดบวม),ความรุนแรงระดับ 5
puffy_face_and_eyes-(ใบหน้าและตาบวม),ความรุนแรงระดับ 5
enlarged_thyroid-(ต่อมไทรอยด์โตขึ้น),ความรุนแรงระดับ 6
brittle_nails-(เล็บแห้งแตก),ความรุนแรงระดับ 5
swollen_extremities-(แขนขาบวม),ความรุนแรงระดับ 5
excessive_hunger-(ความอยากกินมากเกินไป),ความรุนแรงระดับ 4
extra_marital_contacts-(การมีความสัมพันธ์นอกชาติ),ความรุนแรงระดับ 5
drying_and_tingling_lips-(ปากแห้งและมีความรู้สึกเสียแปลง),ความรุนแรงระดับ 4
slurred_speech-(พูดซึ่ง),ความรุนแรงระดับ 4
knee_pain-(ปวดเข่า),ความรุนแรงระดับ 3
hip_joint_pain-(ปวดข้อสะโพก),ความรุนแรงระดับ 2
muscle_weakness-(อ่อนแรงกล้ามเนื้อ),ความรุนแรงระดับ 2
stiff_neck-(คอแข็ง),ความรุนแรงระดับ 4
swelling_joints-(ข้อบวม),ความรุนแรงระดับ 5
movement_stiffness-(ความขัดแข็งของการเคลื่อนไหว),ความรุนแรงระดับ 5
spinning_movements-(การเคลื่อนไหวแบบหมุน),ความรุนแรงระดับ 6
loss_of_balance-(สูญเสียสมดุล),ความรุนแรงระดับ 4
unsteadiness-(ความไม่มั่นคง),ความรุนแรงระดับ 4
weakness_of_one_body_side-(อ่อนแรงด้านหนึ่งของร่างกาย),ความรุนแรงระดับ 4
loss_of_smell-(สูญเสียความสามารถในการระบายกลิ่น),ความรุนแรงระดับ 3
bladder_discomfort-(ความไม่สบายในกระเพาะปัสสาวะ),ความรุนแรงระดับ 4
foul_smell_ofurine-(กลิ่นน่ารังเกียจของปัสสาวะ),ความรุนแรงระดับ 5
continuous_feel_of_urine-(รู้สึกปัสสาวะตลอดเวลา),ความรุนแรงระดับ 6
passage_of_gases-(การเผาไหม้ของแก๊ส),ความรุนแรงระดับ 5
internal_itching-(คันภายใน),ความรุนแรงระดับ 4
toxic_look-(typhos)-(รูปร่างเสีย-(ไทโฟส)),ความรุนแรงระดับ 5
depression-(ซึมเศร้า),ความรุนแรงระดับ 3
irritability-(ความรำคาญ),ความรุนแรงระดับ 2
muscle_pain-(ปวดกล้ามเนื้อ),ความรุนแรงระดับ 2
altered_sensorium-(การรับรู้ที่เปลี่ยนแปลง),ความรุนแรงระดับ 2
red_spots_over_body-(จุดแดงบนร่างกาย),ความรุนแรงระดับ 3
belly_pain-(ปวดท้อง),ความรุนแรงระดับ 4
abnormal_menstruation-(ประจำเดือนผิดปกติ),ความรุนแรงระดับ 6
dischromic_patches-(จุดที่มีสีแปลงแต่ง),ความรุนแรงระดับ 6
watering_from_eyes-(น้ำตาไหล),ความรุนแรงระดับ 4
increased_appetite-(ความอยากกินเพิ่ม),ความรุนแรงระดับ 5
polyuria-(การปัสสาวะมาก),ความรุนแรงระดับ 4
family_history-(ประวัติครอบครัว),ความรุนแรงระดับ 5
mucoid_sputum-(เสมหะมูโคยด์),ความรุนแรงระดับ 4
rusty_sputum-(เสมหะสีสนิม),ความรุนแรงระดับ 4
lack_of_concentration-(ขาดการ集中),ความรุนแรงระดับ 3
visual_disturbances-(ความรบกวนทางการมองเห็น),ความรุนแรงระดับ 3
receiving_blood_transfusion-(การรับบริจาคเลือด),ความรุนแรงระดับ 5
receiving_unsterile_injections-(การรับฉีดยาที่ไม่สะอาด),ความรุนแรงระดับ 2
coma-(โคม่า),ความรุนแรงระดับ 7
stomach_bleeding-(การเลือดออกจากท้อง),ความรุนแรงระดับ 6
distention_of_abdomen-(ท้องโตขึ้น),ความรุนแรงระดับ 4
history_of_alcohol_consumption-(ประวัติการดื่มแอลกอฮอล์),ความรุนแรงระดับ 5
fluid_overload-(การเกิดการแพร่พันธุ์ของของเหลว),ความรุนแรงระดับ 4
blood_in_sputum-(เลือดในเสมหะ),ความรุนแรงระดับ 5
prominent_veins_on_calf-(เส้นเลือดที่โด่งออกบนน่อง),ความรุนแรงระดับ 6
palpitations-(ระยะหัวใจเต้นเร็ว),ความรุนแรงระดับ 4
painful_walking-(การเดินที่เจ็บปวด),ความรุนแรงระดับ 2
pus_filled_pimples-(สิวแผลออกของหนัง),ความรุนแรงระดับ 2
blackheads-(สิวดำ),ความรุนแรงระดับ 2
scurrying-(หนูงวง),ความรุนแรงระดับ 2
skin_peeling-(ระเบี้ยงผิวหนัง),ความรุนแรงระดับ 3
silver_like_dusting-(เป็นฝุ่นเงิน),ความรุนแรงระดับ 2
small_dents_in_nails-(รอยหยักบนเล็บ),ความรุนแรงระดับ 2
inflammatory_nails-(เล็บอักเสบ),ความรุนแรงระดับ 2
blister-(แผลน้ำ),ความรุนแรงระดับ 4
red_sore_around_nose-(แผลแดงรอบจมูก),ความรุนแรงระดับ 2
yellow_crust_ooze-(มีสายหมอกสีเหลือง),ความรุนแรงระดับ 3
